2011-04-23 16:59:53 Warning: Warning (2): Missing argument 2 for Validation::maxLength(), called in /home/armazenamento/desenvolvimento/projetos/cake/cake/libs/object.php on line 112 and defined in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/validation.php, line 629]
2011-04-23 17:00:31 Warning: Warning (2): Missing argument 2 for Validation::maxLength(), called in /home/armazenamento/desenvolvimento/projetos/cake/cake/libs/object.php on line 112 and defined in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/validation.php, line 629]
2011-04-23 17:00:38 Warning: Warning (2): Missing argument 2 for Validation::maxLength(), called in /home/armazenamento/desenvolvimento/projetos/cake/cake/libs/object.php on line 112 and defined in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/validation.php, line 629]
2011-04-23 17:00:44 Warning: Warning (2): Missing argument 2 for Validation::maxLength(), called in /home/armazenamento/desenvolvimento/projetos/cake/cake/libs/object.php on line 112 and defined in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/validation.php, line 629]
2011-04-23 17:25:41 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1062: Duplicate entry 'Rodolfo' for key 'username'</span> in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/model/datasources/dbo_source.php, line 684]
2011-04-23 17:43:51 Warning: Warning (512): AclNode::node() - Couldn't find Aro node identified by "Array
(
    [Aro0.model] => Group
    [Aro0.foreign_key] => 1
)
" in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/model/db_acl.php, line 191]
2011-04-23 17:43:51 Warning: Warning (512): DbAcl::allow() - Invalid node in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/controller/components/acl.php, line 361]
2011-05-09 19:58:12 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'threareded' in 'where clause'</span> in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/model/datasources/dbo_source.php, line 684]
2011-05-18 21:32:59 Error: Fatal Error (256): ConnectionManager::loadDataSource - Unable to import DataSource class mongodb.mongodbSource in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/model/connection_manager.php, line 185]
2011-08-15 19:39:24 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/armazenamento/desenvolvimento/projetos/cake/app/views/posts/index.ctp, line 4]
2011-08-15 19:56:36 Warning: Warning (512): Method HtmlHelper::input does not exist in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/view/helper.php, line 154]
2011-08-15 19:56:53 Warning: Warning (512): Method HtmlHelper::input does not exist in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/view/helper.php, line 154]
2011-08-15 19:57:51 Warning: Warning (512): Method HtmlHelper::input does not exist in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/view/helper.php, line 154]
2011-08-15 19:58:58 Warning: Warning (512): Method HtmlHelper::input does not exist in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/view/helper.php, line 154]
2011-08-15 19:59:24 Warning: Warning (512): Method HtmlHelper::input does not exist in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/view/helper.php, line 154]
2011-08-15 19:59:40 Warning: Warning (512): Method HtmlHelper::input does not exist in [/home/armazenamento/desenvolvimento/projetos/cake/cake/libs/view/helper.php, line 154]
2011-09-17 22:51:23 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/armazenamento/desenvolvimento/projetos/cake/app_indicadores/views/indicadores/index.ctp, line 16]
2011-09-17 22:51:35 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/armazenamento/desenvolvimento/projetos/cake/app_indicadores/views/indicadores/index.ctp, line 16]
2011-09-17 22:52:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/armazenamento/desenvolvimento/projetos/cake/app_indicadores/views/indicadores/index.ctp, line 16]
